ą,ɔ̃ w̃
woliera,v ɔ ˈ l ʲ j ɛ r a
wolin,ˈ v ɔ l ʲ i n
wolinianin,v ɔ l ʲ i ˈ ɲ a ɲ i n
wolinianka,v ɔ l ʲ i ˈ ɲ ã n k a
wolitywny,v ɔ l ʲ i ˈ t ɨ v n ɨ
woliński,v ɔ ˈ l ʲ i j̃ s ʲ c i
wolniuteńki,v ɔ l ʲ ɲ u ˈ t ɛ̃ ɲ c i
wolniutki,v ɔ l ʲ ˈ ɲ u t ʲ c i
wolno,ˈ v ɔ l n ɔ
wolnokonkurencyjny,v ɔ l n ɔ k ɔ̃ ŋ k u r ɛ̃ n ˈ t͡s ɨ j n ɨ
wolnomularstwo,v ɔ l n ɔ̃ m u ˈ l a r s t f ɔ
wolnomularz,v ɔ l n ɔ̃ ˈ m u l a ʂ
wolnomyślicielstwo,v ɔ l n ɔ̃ m ɨ ɕ l ʲ i ˈ t͡ɕ ɛ l s t f ɔ
wolnorynkowy,v ɔ l n ɔ r ɨ ŋ ˈ k ɔ v ɨ
wolność,ˈ v ɔ l n ɔ ɕ t͡ɕ
wolny,ˈ v ɔ l n ɨ
wolontariusz,v ɔ l ɔ̃ n ˈ t a r ʲ j u ʂ
wolontariuszka,v ɔ l ɔ̃ n t a r ʲ ˈ j u ʂ k a
wolsztyn,ˈ v ɔ l ʂ t ɨ n
wolt,v ɔ l t
wolta,ˈ v ɔ l t a
woltomierz,v ɔ l ˈ t ɔ̃ m ʲ j ɛ ʂ
woltyżerka,v ɔ l t ɨ ˈ ʐ ɛ r k a
wolumin,v ɔ ˈ l ũ m ʲ i n
woluta,v ɔ ˈ l u t a
wombat,ˈ v ɔ̃ m b a t
won,v ɔ̃ n
wonny,ˈ v ɔ̃ n ɨ
wop,v ɔ p
wopista,v ɔ ˈ p ʲ i s t a
wopr,v ɔ p r̥
woreczek,v ɔ ˈ r ɛ t͡ʂ ɛ k
woreczkowy,v ɔ r ɛ t͡ʂ ˈ k ɔ v ɨ
worek,ˈ v ɔ r ɛ k
workować,v ɔ r ˈ k ɔ v a t͡ɕ
workuta,v ɔ r ˈ k u t a
wory,ˈ v ɔ r ɨ
wos,v ɔ s
wosk,v ɔ s k
woskowina,v ɔ s k ɔ ˈ v ʲ i n a
wozatarz,v ɔ ˈ z a t a ʂ
wozić,ˈ v ɔ ʑ i t͡ɕ
woźnica,v ɔ ʑ ˈ ɲ i t͡s a
woźniki,v ɔ ʑ ˈ ɲ i c i
wozówka,v ɔ ˈ z u f k a
wozówkowy,v ɔ z u f ˈ k ɔ v ɨ
wp,v u ˈ p ɛ
wpadać,ˈ f p a d a t͡ɕ
wpadka,ˈ f p a t k a
wpajanie,f p a ˈ j a ɲ ɛ
wpaść,f p a ɕ t͡ɕ
wpierdalać,f p ʲ j ɛ r ˈ d a l a t͡ɕ
wpierdol,ˈ f p ʲ j ɛ r d ɔ l
wpisać,ˈ f p ʲ i s a t͡ɕ
wpisywać,f p ʲ i ˈ s ɨ v a t͡ɕ
wpośrzod,ˈ f p ɔ ɕ ʂ ɔ t
wprawa,ˈ f p r a v a
wprawdzie,ˈ f p r a v ʲ d͡ʑ ɛ
wprawka,ˈ f p r a f k a
wprawnie,ˈ f p r a v ʲ ɲ ɛ
wprawny,ˈ f p r a v n ɨ
wprost,f p r ɔ s t
wprowadzać,f p r ɔ ˈ v a d͡z a t͡ɕ
wprowadzenie,f p r ɔ v a ˈ d͡z ɛ̃ ɲ ɛ
wprowadzić,f p r ɔ ˈ v a d͡ʑ i t͡ɕ
wprzódy,ˈ f p ʂ u d ɨ
wpt,v u p ɛ ˈ t ɛ
wpuścić,ˈ f p u ɕ t͡ɕ i t͡ɕ
wpzib,v u p ɛ z ɛ t i ˈ b ɛ
wpół,f p u w
wpół-,f p u w
wpędzać,ˈ f p ɛ̃ n d͡z a t͡ɕ
wpław,f p w a f
wpłynięcie,f p w ɨ ˈ ɲ ɛ̃ ɲ t͡ɕ ɛ
wpłynąć,ˈ f p w ɨ n ɔ̃ ɲ t͡ɕ
wpływ,f p w ɨ f
wpływanie,f p w ɨ ˈ v ã ɲ ɛ
wpływać,ˈ f p w ɨ v a t͡ɕ
wpływowy,f p w ɨ ˈ v ɔ v ɨ
wręcz,v r ɛ̃ ɲ t͡ʂ
wręczanie,v r ɛ̃ ɲ ˈ t͡ʂ ã ɲ ɛ
wręczać,ˈ v r ɛ̃ ɲ t͡ʂ a t͡ɕ
wręczenie,v r ɛ̃ ɲ ˈ t͡ʂ ɛ̃ ɲ ɛ
wręczyć,ˈ v r ɛ̃ ɲ t͡ʂ ɨ t͡ɕ
wręg,v r ɛ̃ ŋ k
wracać,ˈ v r a t͡s a t͡ɕ
wrak,v r a k
wraz,v r a s
wrażenie,v r a ˈ ʐ ɛ̃ ɲ ɛ
wrażliwość,v r a ʐ ˈ l ʲ i v ɔ ɕ t͡ɕ
wrażliwy,v r a ʐ ˈ l ʲ i v ɨ
wredny,ˈ v r ɛ d n ɨ
wrestling,ˈ r ɛ s t l ʲ i ŋ k
wrocław,ˈ v r ɔ t͡s w a f
wrocławiak,v r ɔ t͡s ˈ w a v ʲ j a k
wrocławianin,v r ɔ t͡s w a ˈ v ʲ j a ɲ i n
wrocławianka,v r ɔ t͡s w a ˈ v ʲ j ã n k a
wrocławski,v r ɔ t͡s ˈ w a f s ʲ c i
wrodzony,v r ɔ ˈ d͡z ɔ̃ n ɨ
wrogi,ˈ v r ɔ ɡ ʲ i
wrogo,ˈ v r ɔ ɡ ɔ
wrogość,ˈ v r ɔ ɡ ɔ ɕ t͡ɕ
wron,v r ɔ̃ n
wrona,ˈ v r ɔ̃ n a
wroni,ˈ v r ɔ̃ ɲ i
wronka,ˈ v r ɔ̃ n k a
wronki,ˈ v r ɔ̃ ŋ ʲ c i
wrony,ˈ v r ɔ̃ n ɨ
wrostek,ˈ v r ɔ s t ɛ k
wrota,ˈ v r ɔ t a
wrotka,ˈ v r ɔ t k a
wrotkarz,ˈ v r ɔ t k a ʂ
wrotycz,ˈ v r ɔ t ɨ t͡ʂ
wrzasnąć,ˈ v ʐ a s n ɔ̃ ɲ t͡ɕ
wrzawa,ˈ v ʐ a v a
wrzeciono,v ʐ ɛ ˈ t͡ɕ ɔ̃ n ɔ
wrzemienny,v ʐ ɛ̃ ˈ m ʲ j ɛ̃ n ɨ
wrzesień,ˈ v ʐ ɛ ɕ ɛ̃ ɲ
wrzesiński,v ʐ ɛ ˈ ɕ i j̃ s ʲ c i
wrzeszczeć,ˈ v ʐ ɛ ʂ t͡ʂ ɛ t͡ɕ
wrzeć,v ʐ ɛ t͡ɕ
września,ˈ v ʐ ɛ ɕ ɲ a
wrześniaczka,v ʐ ɛ ɕ ˈ ɲ a t͡ʂ k a
wrześniak,ˈ v ʐ ɛ ɕ ɲ a k
wrześnianin,v ʐ ɛ ɕ ˈ ɲ a ɲ i n
wrześnianka,v ʐ ɛ ɕ ˈ ɲ ã n k a
wrześniowy,v ʐ ɛ ɕ ˈ ɲ ɔ v ɨ
wrześniówka,v ʐ ɛ ɕ ˈ ɲ u f k a
wrzkomo,ˈ f ʂ k ɔ̃ m ɔ
wrzos,v ʐ ɔ s
wrzosowisko,v ʐ ɔ s ɔ ˈ v ʲ i s k ɔ
wrzucać,ˈ v ʐ u t͡s a t͡ɕ
wrzutka,ˈ v ʐ u t k a
wrzutnia,ˈ v ʐ u t ʲ ɲ a
wrzód,v ʐ u t
wrzątek,ˈ v ʐ ɔ̃ n t ɛ k
wróbel,ˈ v r u b ɛ l
wróbelek,v r u ˈ b ɛ l ɛ k
wróbli,ˈ v r u b l ʲ i
wrócenie,v r u ˈ t͡s ɛ̃ ɲ ɛ
wrócić,ˈ v r u t͡ɕ i t͡ɕ
wróg,v r u k
wróżbiarka,v r u ʐ ˈ b ʲ j a r k a
wróżbiarz,ˈ v r u ʐ b ʲ j a ʂ
wróżbitka,v r u ʐ ˈ b ʲ i t k a
wróżenie,v r u ˈ ʐ ɛ̃ ɲ ɛ
wróżka,ˈ v r u ʂ k a
wróżyć,ˈ v r u ʐ ɨ t͡ɕ
wsad,f s a t
wsadzanie,f s a ˈ d͡z ã ɲ ɛ
wschodni,ˈ f s x ɔ d ʲ ɲ i
wschodniokaukaski,f s x ɔ d ʲ ɲ ɔ k a w ˈ k a s ʲ c i
wschodniosłowiański,f s x ɔ d ʲ ɲ ɔ s w ɔ ˈ v ʲ j a j̃ s ʲ c i
wschodniotimorski,f s x ɔ d ʲ ɲ ɔ t ʲ i ˈ m ɔ r s ʲ c i
wschodzenie,f s x ɔ ˈ d͡z ɛ̃ ɲ ɛ
wschodzić,ˈ f s x ɔ d͡ʑ i t͡ɕ
wschowa,ˈ f s x ɔ v a
wschód,f s x u t
wsiadać,ˈ f ʲ ɕ a d a t͡ɕ
wsierdzie,ˈ f ʲ ɕ ɛ r ʲ d͡ʑ ɛ
wsierdziowy,f ʲ ɕ ɛ r ʲ ˈ d͡ʑ ɔ v ɨ
wsip,v u ɛ s i ˈ p ɛ
wsiąknąć,ˈ f ʲ ɕ ɔ̃ ŋ k n ɔ̃ ɲ t͡ɕ
wsiąść,f ʲ ɕ ɔ̃ w̃ ɕ t͡ɕ
wsk,v u ɛ s ˈ k a
wskakiwać,f s k a ˈ c i v a t͡ɕ
wskaz,f s k a s
wskazanie,f s k a ˈ z ã ɲ ɛ
wskazywanie,f s k a z ɨ ˈ v ã ɲ ɛ
wskazywać,f s k a ˈ z ɨ v a t͡ɕ
wskazóweczka,f s k a z u ˈ v ɛ t͡ʂ k a
wskazówka,f s k a ˈ z u f k a
wskaźnik,ˈ f s k a ʑ ɲ i k
wskoczyć,ˈ f s k ɔ t͡ʂ ɨ t͡ɕ
wskroś,f s k r ɔ ɕ
wskutek,ˈ f s k u t ɛ k
wspaniale,f s p ã ˈ ɲ a l ɛ
wspaniałość,f s p ã ˈ ɲ a w ɔ ɕ t͡ɕ
wspaniały,f s p ã ˈ ɲ a w ɨ
wsparcie,ˈ f s p a r ʲ t͡ɕ ɛ
wspieranie,f s p ʲ j ɛ ˈ r ã ɲ ɛ
wspierać,ˈ f s p ʲ j ɛ r a t͡ɕ
wspinacz,ˈ f s p ʲ i n a t͡ʂ
wspinaczka,f s p ʲ i ˈ n a t͡ʂ k a
wspinać,ˈ f s p ʲ i n a t͡ɕ
wspinek,ˈ f s p ʲ i n ɛ k
wspomaganie,f s p ɔ̃ m a ˈ ɡ ã ɲ ɛ
wspomagać,f s p ɔ̃ ˈ m a ɡ a t͡ɕ
wspominać,f s p ɔ̃ ˈ m ʲ i n a t͡ɕ
wspomnienie,f s p ɔ̃ m ʲ ˈ ɲ ɛ̃ ɲ ɛ
wspomnieć,ˈ f s p ɔ̃ m ʲ ɲ ɛ t͡ɕ
wspólnie,ˈ f s p u l ʲ ɲ ɛ
wspólnorodzajowy,f s p u l n ɔ r ɔ d͡z a ˈ j ɔ v ɨ
wspólnota,f s p u l ˈ n ɔ t a
wspólny,ˈ f s p u l n ɨ
współautor,f s p u w ˈ a w t ɔ r
współautorka,f s p u w a w ˈ t ɔ r k a
współczesny,f s p u w ˈ t͡ʂ ɛ s n ɨ
współcześnie,f s p u w ˈ t͡ʂ ɛ ɕ ɲ ɛ
współczucie,f s p u w ˈ t͡ʂ u t͡ɕ ɛ
współczuć,ˈ f s p u w t͡ʂ u t͡ɕ
współgrać,ˈ f s p u w ɡ r a t͡ɕ
współlas,ˈ f s p u w l a s
współlokator,f s p u w l ɔ ˈ k a t ɔ r
współmat,ˈ f s p u w m a t
współnegocjator,f s p u w n ɛ ɡ ɔ ˈ t͡s ʲ j a t ɔ r
współnegocjatorka,f s p u w n ɛ ɡ ɔ t͡s ʲ j a ˈ t ɔ r k a
współodpowiedzialny,f s p u w ɔ t p ɔ v ʲ j ɛ ˈ d͡ʑ a l n ɨ
współogniskowy,f s p u w ɔ ɡ ʲ ɲ i ˈ s k ɔ v ɨ
współpraca,f s p u w ˈ p r a t͡s a
współpracowanie,f s p u w p r a t͡s ɔ ˈ v ã ɲ ɛ
współpracować,f s p u w p r a ˈ t͡s ɔ v a t͡ɕ
współpracownik,f s p u w p r a ˈ t͡s ɔ v ʲ ɲ i k
współrządzić,f s p u w ˈ ʐ ɔ̃ ɲ d͡ʑ i t͡ɕ
współuczestnictwo,f s p u w u t͡ʂ ɛ ˈ s t ʲ ɲ i t͡s t f ɔ
współwyznawca,f s p u w v ɨ ˈ z n a f t͡s a
współzależność,f s p u w z a ˈ l ɛ ʐ n ɔ ɕ t͡ɕ
współzawodnictwo,f s p u w z a v ɔ d ʲ ˈ ɲ i t͡s t f ɔ
współżycie,f s p u w ˈ ʐ ɨ t͡ɕ ɛ
współżyć,ˈ f s p u w ʐ ɨ t͡ɕ
wstawać,ˈ f s t a v a t͡ɕ
wstać,f s t a t͡ɕ
wstecz,f s t ɛ t͡ʂ
wsteczny,ˈ f s t ɛ t͡ʂ n ɨ
wstrząs,f s ṭ ʂ ɔ̃ w̃ s
wstrząsać,ˈ f s ṭ ʂ ɔ̃ w̃ s a t͡ɕ
wstrząsnąć,ˈ f s ṭ ʂ ɔ̃ w̃ s n ɔ̃ ɲ t͡ɕ
wstrząsy,ˈ f s ṭ ʂ ɔ̃ w̃ s ɨ
wstręt,f s t r ɛ̃ n t
wstrętnie,ˈ f s t r ɛ̃ n t ʲ ɲ ɛ
wstrętny,ˈ f s t r ɛ̃ n t n ɨ
wstukać,ˈ f s t u k a t͡ɕ
wstukiwać,f s t u ˈ c i v a t͡ɕ
wstyd,f s t ɨ t
wstąpienie,f s t ɔ̃ m ˈ p ʲ j ɛ̃ ɲ ɛ
wstąpić,ˈ f s t ɔ̃ m p ʲ i t͡ɕ
wstążeczka,f s t ɔ̃ w̃ ˈ ʐ ɛ t͡ʂ k a
wstążka,ˈ f s t ɔ̃ w̃ ʂ k a
wstęga,ˈ f s t ɛ̃ ŋ ɡ a
wstęp,f s t ɛ̃ m p
wstępny,ˈ f s t ɛ̃ m p n ɨ
wstępowanie,f s t ɛ̃ m p ɔ ˈ v ã ɲ ɛ
wstępować,f s t ɛ̃ m ˈ p ɔ v a t͡ɕ
wsuwka,ˈ f s u f k a
wsypać,ˈ f s ɨ p a t͡ɕ
wsypywać,f s ɨ ˈ p ɨ v a t͡ɕ
wszak,f ʂ a k
wszakże,ˈ f ʂ a ɡ ʐ ɛ
wszarz,f ʂ a ʂ
wszechmocny,f ʂ ɛ x ˈ m ɔ t͡s n ɨ
wszechnica,f ʂ ɛ ɣ ˈ ɲ i t͡s a
wszechobecność,f ʂ ɛ x ɔ ˈ b ɛ t͡s n ɔ ɕ t͡ɕ
wszechrosyjski,f ʂ ɛ x r ɔ ˈ s ɨ j s ʲ c i
wszechwładny,f ʂ ɛ x ˈ f w a d n ɨ
wszechświat,ˈ f ʂ ɛ ɣ ɕ f ʲ j a t
wszelaki,f ʂ ɛ ˈ l a c i
wszelki,ˈ f ʂ ɛ l ʲ c i
wszerad,ˈ f ʂ ɛ r a t
wszeteczeństwo,f ʂ ɛ t ɛ ˈ t͡ʂ ɛ̃ j̃ s t f ɔ
wszetecznica,f ʂ ɛ t ɛ t͡ʂ ʲ ˈ ɲ i t͡s a
wszetecznie,f ʂ ɛ ˈ t ɛ t͡ʂ ʲ ɲ ɛ
wszetecznik,f ʂ ɛ ˈ t ɛ t͡ʂ ʲ ɲ i k
wszeteczność,f ʂ ɛ ˈ t ɛ t͡ʂ n ɔ ɕ t͡ɕ
wszeteczny,f ʂ ɛ ˈ t ɛ t͡ʂ n ɨ
wszoł,f ʂ ɔ w
wszyscy,ˈ f ʂ ɨ s t͡s ɨ
wszystek,ˈ f ʂ ɨ s t ɛ k
wszystkie,ˈ f ʂ ɨ s t ʲ c ɛ
wszystko,ˈ f ʂ ɨ s t k ɔ
wszystkokupny,f ʂ ɨ s t k ɔ ˈ k u p n ɨ
wszystkoruchy,f ʂ ɨ s t k ɔ ˈ r u x ɨ
wszytkokrotny,f ʂ ɨ t k ɔ ˈ k r ɔ t n ɨ
wszyściuteńki,f ʂ ɨ ɕ t͡ɕ u ˈ t ɛ̃ ɲ c i
wszyściutki,f ʂ ɨ ɕ ˈ t͡ɕ u t ʲ c i
wszędy,ˈ f ʂ ɛ̃ n d ɨ
wszędzie,ˈ f ʂ ɛ̃ ɲ d͡ʑ ɛ
wtajemniczanie,f t a j ɛ̃ m ʲ ɲ i ˈ t͡ʂ ã ɲ ɛ
wtajemniczać,f t a j ɛ̃ m ʲ ˈ ɲ i t͡ʂ a t͡ɕ
wtedy,ˈ f t ɛ d ɨ
wtem,f t ɛ̃ m
wtenczas,ˈ f t ɛ̃ ɲ t͡ʂ a s
wtf,v u t ɛ ˈ f
wtorek,ˈ f t ɔ r ɛ k
wtorkowy,f t ɔ r ˈ k ɔ v ɨ
wtrącanie,f t r ɔ̃ n ˈ t͡s ã ɲ ɛ
wtrącać,ˈ f t r ɔ̃ n t͡s a t͡ɕ
wtrącenie,f t r ɔ̃ n ˈ t͡s ɛ̃ ɲ ɛ
wtrącić,ˈ f t r ɔ̃ ɲ t͡ɕ i t͡ɕ
wtulony,f t u ˈ l ɔ̃ n ɨ
wtyczka,ˈ f t ɨ t͡ʂ k a
wtyk,f t ɨ k
wtykanie,f t ɨ ˈ k ã ɲ ɛ
wtykać,ˈ f t ɨ k a t͡ɕ
wtz,v u t ɛ ˈ z ɛ t
wucet,ˈ v u t͡s ɛ t
wuef,ˈ v u s u p w s u p ɛ f
wuefista,v u s u p w s u p ɛ ˈ f ʲ i s t a
wuj,v u j
wujaszek,v u ˈ j a ʂ ɛ k
wujaszkowy,v u j a ˈ ʂ k ɔ v ɨ
wujcio,ˈ v u j t͡ɕ ɔ
wujeczna,v u ˈ j ɛ t͡ʂ n a
wujeczny,v u ˈ j ɛ t͡ʂ n ɨ
wujek,ˈ v u j ɛ k
wujeneczka,v u j ɛ̃ ˈ n ɛ t͡ʂ k a
wujenka,v u ˈ j ɛ̃ n k a
wujka,ˈ v u j k a
wujkowy,v u j ˈ k ɔ v ɨ
wujostwo,v u ˈ j ɔ s t f ɔ
wujowie,v u ˈ j ɔ v ʲ j ɛ
wujowski,v u ˈ j ɔ f s ʲ c i
wujowy,v u ˈ j ɔ v ɨ
wukadka,v u ˈ k a t k a
wulgarnie,v u l ˈ ɡ a r ʲ ɲ ɛ
wulgarny,v u l ˈ ɡ a r n ɨ
wulgaryzm,v u l ˈ ɡ a r ɨ s m̥
wulkan,ˈ v u l k ã n
wulkaniczny,v u l k ã ˈ ɲ i t͡ʂ n ɨ
wup,v u p
wwiercanie,v v ʲ j ɛ r ˈ t͡s ã ɲ ɛ
wwiercenie,v v ʲ j ɛ r ˈ t͡s ɛ̃ ɲ ɛ
wyć,v ɨ t͡ɕ
wy,v ɨ
wy-,v ɨ
wyładowanie,v ɨ w a d ɔ ˈ v ã ɲ ɛ
wyładunek,v ɨ w a ˈ d ũ n ɛ k
wyłamanie,v ɨ w ã ˈ m ã ɲ ɛ
wyłamać,v ɨ ˈ w ã m a t͡ɕ
wyłaniać,v ɨ ˈ w ã ɲ æ t͡ɕ
wyłapać,v ɨ ˈ w a p a t͡ɕ
wyłonić,v ɨ ˈ w ɔ̃ ɲ i t͡ɕ
wyłowić,v ɨ ˈ w ɔ v ʲ i t͡ɕ
wyłudzić,v ɨ ˈ w u d͡ʑ i t͡ɕ
wyłączanie,v ɨ w ɔ̃ ɲ ˈ t͡ʂ ã ɲ ɛ
wyłączać,v ɨ ˈ w ɔ̃ ɲ t͡ʂ a t͡ɕ
wyłączenie,v ɨ w ɔ̃ ɲ ˈ t͡ʂ ɛ̃ ɲ ɛ
wyłącznie,v ɨ ˈ w ɔ̃ ɲ t͡ʂ ʲ ɲ ɛ
wyłącznik,v ɨ ˈ w ɔ̃ ɲ t͡ʂ ʲ ɲ i k
wyłączyć,v ɨ ˈ w ɔ̃ ɲ t͡ʂ ɨ t͡ɕ
wyściełanie,v ɨ ɕ t͡ɕ ɛ ˈ w ã ɲ ɛ
wyściełany,v ɨ ɕ t͡ɕ ɛ ˈ w ã n ɨ
wyściełać,v ɨ ˈ ɕ t͡ɕ ɛ w a t͡ɕ
wyścig,ˈ v ɨ ɕ t͡ɕ i k
wyścigi,v ɨ ˈ ɕ t͡ɕ i ɡ ʲ i
wyścigowiec,v ɨ ɕ t͡ɕ i ˈ ɡ ɔ v ʲ j ɛ t͡s
wyścigowy,v ɨ ɕ t͡ɕ i ˈ ɡ ɔ v ɨ
wyścigówka,v ɨ ɕ t͡ɕ i ˈ ɡ u f k a
wyściółczak,v ɨ ˈ ɕ t͡ɕ u w t͡ʂ a k
wyśmiać,ˈ v ɨ ɕ m ʲ j æ t͡ɕ
wyśmienicie,v ɨ ɕ m ʲ j ɛ̃ ˈ ɲ i t͡ɕ ɛ
wyśmierzyce,v ɨ ɕ m ʲ j ɛ ˈ ʐ ɨ t͡s ɛ
wyśpiewać,v ɨ ˈ ɕ p ʲ j ɛ v a t͡ɕ
wyśpiewywać,v ɨ ɕ p ʲ j ɛ ˈ v ɨ v a t͡ɕ
wyświetlacz,v ɨ ˈ ɕ f ʲ j ɛ t l a t͡ʂ
wyświetlanie,v ɨ ɕ f ʲ j ɛ ˈ t l ã ɲ ɛ
wyświetlać,v ɨ ˈ ɕ f ʲ j ɛ t l a t͡ɕ
wybaczać,v ɨ ˈ b a t͡ʂ a t͡ɕ
wybaczyć,v ɨ ˈ b a t͡ʂ ɨ t͡ɕ
wybawca,v ɨ ˈ b a f t͡s a
wybawić,v ɨ ˈ b a v ʲ i t͡ɕ
wybebeszyć,v ɨ b ɛ ˈ b ɛ ʂ ɨ t͡ɕ
wybiec,ˈ v ɨ b ʲ j ɛ t͡s
wybieg,ˈ v ɨ b ʲ j ɛ k
wybielacz,v ɨ ˈ b ʲ j ɛ l a t͡ʂ
wybieranie,v ɨ b ʲ j ɛ ˈ r ã ɲ ɛ
wybierać,v ɨ ˈ b ʲ j ɛ r a t͡ɕ
wybitnie,v ɨ ˈ b ʲ i t ʲ ɲ ɛ
wybitność,v ɨ ˈ b ʲ i t n ɔ ɕ t͡ɕ
wybitny,v ɨ ˈ b ʲ i t n ɨ
wybić,ˈ v ɨ b ʲ i t͡ɕ
wyboczenie,v ɨ b ɔ ˈ t͡ʂ ɛ̃ ɲ ɛ
wyboisty,v ɨ b ɔ ˈ s u p j s u p i s t ɨ
wyborca,v ɨ ˈ b ɔ r t͡s a
wyborczy,v ɨ ˈ b ɔ r t͡ʂ ɨ
wyborny,v ɨ ˈ b ɔ r n ɨ
wyborowy,v ɨ b ɔ ˈ r ɔ v ɨ
wybory,v ɨ ˈ b ɔ r ɨ
wybrakowany,v ɨ b r a k ɔ ˈ v ã n ɨ
wybranka,v ɨ ˈ b r ã n k a
wybrać,ˈ v ɨ b r a t͡ɕ
wybredny,v ɨ ˈ b r ɛ d n ɨ
wybrzeże,v ɨ ˈ b ʐ ɛ ʐ ɛ
wybrzuszyć,v ɨ ˈ b ʐ u ʂ ɨ t͡ɕ
wybuch,ˈ v ɨ b u x
wybuchnąć,v ɨ ˈ b u x n ɔ̃ ɲ t͡ɕ
wybuchowy,v ɨ b u ˈ x ɔ v ɨ
wybudować,v ɨ b u ˈ d ɔ v a t͡ɕ
wybój,ˈ v ɨ b u j
wybór,ˈ v ɨ b u r
wychełznać,v ɨ ˈ x ɛ w z n a t͡ɕ
wychodzenie,v ɨ x ɔ ˈ d͡z ɛ̃ ɲ ɛ
wychodzić,v ɨ ˈ x ɔ d͡ʑ i t͡ɕ
wychowanek,v ɨ x ɔ ˈ v ã n ɛ k
wychowanie,v ɨ x ɔ ˈ v ã ɲ ɛ
wychowanka,v ɨ x ɔ ˈ v ã n k a
wychowawca,v ɨ x ɔ ˈ v a f t͡s a
wychowawczyni,v ɨ x ɔ v a f ˈ t͡ʂ ɨ ɲ i
wychować,v ɨ ˈ x ɔ v a t͡ɕ
wychowywać,v ɨ x ɔ ˈ v ɨ v a t͡ɕ
wychudzony,v ɨ x u ˈ d͡z ɔ̃ n ɨ
wychujać,v ɨ ˈ x u j æ t͡ɕ
wychwalać,v ɨ ˈ x f a l a t͡ɕ
wychwycić,v ɨ ˈ x f ɨ t͡ɕ i t͡ɕ
wychwytywać,v ɨ x f ɨ ˈ t ɨ v a t͡ɕ
wychylać,v ɨ ˈ x ɨ l a t͡ɕ
wychylenie,v ɨ x ɨ ˈ l ɛ̃ ɲ ɛ
wychylić,v ɨ ˈ x ɨ l ʲ i t͡ɕ
wycieczka,v ɨ ˈ t͡ɕ ɛ t͡ʂ k a
wycieczkowiec,v ɨ t͡ɕ ɛ t͡ʂ ˈ k ɔ v ʲ j ɛ t͡s
wyciekać,v ɨ ˈ t͡ɕ ɛ k a t͡ɕ
wycieraczka,v ɨ t͡ɕ ɛ ˈ r a t͡ʂ k a
wycieranie,v ɨ t͡ɕ ɛ ˈ r ã ɲ ɛ
wycierać,v ɨ ˈ t͡ɕ ɛ r a t͡ɕ
wycieńczyć,v ɨ ˈ t͡ɕ ɛ̃ j̃ ɲ t͡ʂ ɨ t͡ɕ
wyciruska,v ɨ t͡ɕ i ˈ r u s k a
wyciskanie,v ɨ t͡ɕ i ˈ s k ã ɲ ɛ
wyciskarka,v ɨ t͡ɕ i ˈ s k a r k a
wycisnąć,v ɨ ˈ t͡ɕ i s n ɔ̃ ɲ t͡ɕ
wyciąg,ˈ v ɨ t͡ɕ ɔ̃ ŋ k
wyciąganie,v ɨ t͡ɕ ɔ̃ ŋ ˈ ɡ ã ɲ ɛ
wyciągać,v ɨ ˈ t͡ɕ ɔ̃ ŋ ɡ a t͡ɕ
wyciągnięcie,v ɨ t͡ɕ ɔ̃ ŋ ʲ ɡ ʲ ˈ ɲ ɛ̃ ɲ t͡ɕ ɛ
wyciągnąć,v ɨ ˈ t͡ɕ ɔ̃ ŋ ɡ n ɔ̃ ɲ t͡ɕ
wyciśnięcie,v ɨ t͡ɕ i ɕ ˈ ɲ ɛ̃ ɲ t͡ɕ ɛ
wycofać,v ɨ ˈ t͡s ɔ f a t͡ɕ
wyczekiwanie,v ɨ t͡ʂ ɛ c i ˈ v ã ɲ ɛ
wyczekiwać,v ɨ t͡ʂ ɛ ˈ c i v a t͡ɕ
wyczerpanie,v ɨ t͡ʂ ɛ r ˈ p ã ɲ ɛ
wyczerpać,v ɨ ˈ t͡ʂ ɛ r p a t͡ɕ
wyczerpywać,v ɨ t͡ʂ ɛ r ˈ p ɨ v a t͡ɕ
wyczesany,v ɨ t͡ʂ ɛ ˈ s ã n ɨ
wyczesywać,v ɨ t͡ʂ ɛ ˈ s ɨ v a t͡ɕ
wyczyn,ˈ v ɨ t͡ʂ ɨ n
wyczyścić,v ɨ ˈ t͡ʂ ɨ ɕ t͡ɕ i t͡ɕ
wydanie,v ɨ ˈ d ã ɲ ɛ
wydarzenie,v ɨ d a ˈ ʐ ɛ̃ ɲ ɛ
wydatek,v ɨ ˈ d a t ɛ k
wydatkować,v ɨ d a t ˈ k ɔ v a t͡ɕ
wydatny,v ɨ ˈ d a t n ɨ
wydawanie,v ɨ d a ˈ v ã ɲ ɛ
wydawać,v ɨ ˈ d a v a t͡ɕ
wydawka,v ɨ ˈ d a f k a
wydawnictwo,v ɨ d a v ʲ ˈ ɲ i t͡s t f ɔ
wydać,ˈ v ɨ d a t͡ɕ
wydma,ˈ v ɨ d m a
wydmuszka,v ɨ ˈ d m u ʂ k a
wydobycie,v ɨ d ɔ ˈ b ɨ t͡ɕ ɛ
wydobywać,v ɨ d ɔ ˈ b ɨ v a t͡ɕ
wydobyć,v ɨ ˈ d ɔ b ɨ t͡ɕ
wydostać,v ɨ ˈ d ɔ s t a t͡ɕ
wydra,ˈ v ɨ d r a
