čač,t͡ʃ a t͡ʃ
zamykač,z a m ɪ k a t͡ʃ
zamítaje,z a m iː t a j ɛ
zamítla,z a m iː t l a
zamítnuto,z a m iː t n ʊ t ɔ
zamířil,z a m iː r̝ ɪ l
zamířila,z a m iː r̝ ɪ l a
zamířili,z a m iː r̝ ɪ l ɪ
zamíří,z a m iː r̝ iː
zamýšlený,z a m iː ʃ l ɛ n iː
zamýšlí,z a m iː ʃ l iː
zamčeni,z a m t͡ʃ ɛ ɲ ɪ
zaměnila,z a m ɲ ɛ ɲ ɪ l a
zaměstnance,z a m ɲ ɛ s t n a n t͡s ɛ
zaměstnanci,z a m ɲ ɛ s t n a n t͡s ɪ
zaměstnanců,z a m ɲ ɛ s t n a n t͡s uː
zaměstnanec,z a m ɲ ɛ s t n a n ɛ t͡s
zaměstnanecký,z a m ɲ ɛ s t n a n ɛ t͡s k iː
zaměstnaneckých,z a m ɲ ɛ s t n a n ɛ t͡s k iː x
zaměstnankyně,z a m ɲ ɛ s t n a ŋ k ɪ ɲ ɛ
zaměstnaná,z a m ɲ ɛ s t n a n aː
zaměstnaný,z a m ɲ ɛ s t n a n iː
zaměstnavatel,z a m ɲ ɛ s t n a v a t ɛ l
zaměstnavatele,z a m ɲ ɛ s t n a v a t ɛ l ɛ
zaměstnavatelé,z a m ɲ ɛ s t n a v a t ɛ l ɛː
zaměstnání,z a m ɲ ɛ s t n aː ɲ iː
zaměstnává,z a m ɲ ɛ s t n aː v aː
zaměňujíce,z a m ɲ ɛ ɲ ʊ j iː t͡s ɛ
zaměření,z a m ɲ ɛ r̝ ɛ ɲ iː
zaměří,z a m ɲ ɛ r̝ iː
zamřížovaný,z a m r̝ iː ʒ ɔ v a n iː
zanechajíc,z a n ɛ x a j iː t͡s
zanechal,z a n ɛ x a l
zanechala,z a n ɛ x a l a
zanechali,z a n ɛ x a l ɪ
zanechat,z a n ɛ x a t
zanechati,z a n ɛ x a c ɪ
zanechav,z a n ɛ x a f
zanechavše,z a n ɛ x a v ʃ ɛ
zanechavši,z a n ɛ x a v ʃ ɪ
zanechávaje,z a n ɛ x aː v a j ɛ
zanedbaná,z a n ɛ d b a n aː
zanedbat,z a n ɛ d b a t
zanedbávat,z a n ɛ d b aː v a t
zaneprázdňovat,z a n ɛ p r aː z d ɲ ɔ v a t
zanesli,z a n ɛ s l ɪ
zanevřít,z a n ɛ v r̝ iː t
zanikl,z a ɲ ɪ k l̩
zaniklý,z a ɲ ɪ k l iː
zaniká,z a ɲ ɪ k aː
zanzibar,ˈ z a n z ɪ b a r
zanáška,ˈ z a n aː ʃ k a
zaoceánského,z a ɔ t͡s ɛ aː n s k ɛː ɦ ɔ
zaostřit,ˈ z a ʔ ɔ s t r̝̊ ɪ t
zapad,z a p a t
zapadat,ˈ z a p a d a t
zapadati,ˈ z a p a d a c ɪ
zapadlého,z a p a d l ɛː ɦ ɔ
zapadákov,z a p a d aː k ɔ f
zapal,z a p a l
zapalovač,z a p a l ɔ v a t͡ʃ
zapalováček,z a p a l ɔ v aː t͡ʃ ɛ k
zaparkovali,z a p a r k ɔ v a l ɪ
zaparkovaných,z a p a r k ɔ v a n iː x
zapisovat,z a p ɪ s ɔ v a t
zapisovati,z a p ɪ s ɔ v a c ɪ
zapit,z a p ɪ t
zaplacení,z a p l a t s ɛ ɲ iː
zaplatili,z a p l a c ɪ l ɪ
zaplatit,z a p l a c ɪ t
zaplatí,z a p l a c iː
zaplavily,ˈ z a p l a v ɪ l ɪ
zaplavuje,z a p l a v ʊ j ɛ
zapleteno,z a p l ɛ t ɛ n ɔ
zapnout,z a p n ɔ ʊ̯ t
zapojili,z a p ɔ j ɪ l ɪ
zapolitizovat,ˈ z a p ɔ l ɪ t ɪ z ɔ v a t
zapomenout,z a p ɔ m e n ɔ ʊ̯ t
zapomenuta,z a p ɔ m ɛ n ʊ t a
zapomenuto,z a p ɔ m ɛ n ʊ t ɔ
zapomenuvše,z a p ɔ m ɛ n ʊ f ʃ ɛ
zapomínat,z a p ɔ m iː n a t
zapomínati,z a p ɔ m iː n a c ɪ
zapovídaly,z a p ɔ v iː d a l ɪ
zapracovat,ˈ z a p r a t͡s ɔ v a t
zaprasit,z a p r a s ɪ t
zaprodanec,z a p r ɔ d a n ɛ t͡s
zaprášený,z a p r aː ʃ ɛ n iː
zapsaný,z a p s a n iː
zapsat,z a p s a t
zapsati,z a p s a c ɪ
zapálený,z a p aː l ɛ n iː
zapálili,z a p aː l ɪ l ɪ
zapálit,z a p aː l ɪ t
zapískat,z a p iː s k a t
zapřažený,z a p r̝̊ a ʒ ɛ n iː
zapřisáhlý,z a p r̝̊ ɪ s aː ɦ l iː
zapšklý,z a p ʃ k l iː
zarach,ˈ z a r a x
zaragoza,z a r a ɡ ɔ z a
zaraz,z a r a s
zarděnky,ˈ z a r ɟ ɛ ŋ k ɪ
zaregistruje,z a r ɛ ɡ ɪ s t r ʊ j ɛ
zarezervovala,z a r ɛ z ɛ r v ɔ v a l a
zarmoucen,z a r m ɔ ʊ̯ t͡s ɛ n
zarostlé,z a r ɔ s t l ɛː
zarputilý,z a r p ʊ c ɪ l iː
zaruka,z a r ʊ k a
zaručí,z a r ʊ t͡ʃ iː
zas,z a s
zasahoval,z a s a ɦ ɔ v a l
zasahovala,z a s a ɦ ɔ v a l a
zasahovali,z a s a ɦ ɔ v a l ɪ
zasahovaly,z a s a ɦ ɔ v a l ɪ
zasahuje,z a s a ɦ ʊ j ɛ
zasakroval,ˈ z a s a k r ɔ v a l
zase,z a s ɛ
zasedaje,z a s ɛ d a j ɛ
zasedl,z a s ɛ d l̩
zasedla,z a s ɛ d l a
zasedání,z a s ɛ d aː ɲ iː
zaskočil,z a s k ɔ t͡ʃ ɪ l
zaskočit,z a s k ɔ t͡ʃ ɪ t
zaslat,z a s l a t
zaslepenec,ˈ z a s l ɛ p ɛ n ɛ t͡s
zasnoubiv,z a s n ɔ ʊ̯ b ɪ f
zasněžené,z a s ɲ ɛ ʒ ɛ n ɛː
zasněžený,z a s ɲ ɛ ʒ ɛ n iː
zasněžovat,z a s ɲ ɛ ʒ ɔ v a t
zasněžování,z a s ɲ ɛ ʒ ɔ v aː ɲ iː
zasněžuje,z a s ɲ ɛ ʒ ʊ j ɛ
zasouvaly,z a s ɔ ʊ̯ v a l ɪ
zaspat,z a s p a t
zasrané,z a s r a n ɛː
zasraný,z a s r a n iː
zasrat,z a s r a t
zastaralé,z a s t a r a l ɛː
zastaralý,z a s t a r a l iː
zastavena,z a s t a v ɛ n a
zastavení,z a s t a v ɛ ɲ iː
zastavil,z a s t a v ɪ l
zastavili,z a s t a v ɪ l ɪ
zastavilo,z a s t a v ɪ l ɔ
zastavit,z a s t a v ɪ t
zastaviv,z a s t a v ɪ f
zastavujíc,z a s t a v ʊ j iː t͡s
zastavárenský,z a s t a v aː r ɛ n s k iː
zastavárna,z a s t a v aː r n a
zastavárnice,z a s t a v aː r ɲ ɪ t s ɛ
zastavárník,z a s t a v aː r ɲ iː k
zastrašováni,z a s t r a ʃ ɔ v aː ɲ ɪ
zastudena,z a s t ʊ d ɛ n a
zastupitelského,z a s t ʊ p ɪ t ɛ l s k ɛː ɦ ɔ
zastupitelstva,z a s t ʊ p ɪ t ɛ l s t v a
zastupoval,z a s t ʊ p ɔ v a l
zastupujícího,z a s t ʊ p ʊ j iː t͡s iː ɦ ɔ
zastánce,ˈ z a s t aː n t͡s ɛ
zastávají,z a s t aː v a j iː
zastávka,z a s t aː f k a
zastávkami,z a s t aː f k a m ɪ
zastávkách,z a s t aː f k aː x
zastávám,z a s t aː v aː m
zastřelen,z a s t r̝̊ ɛ l ɛ n
zastřeleni,z a s t r̝̊ ɛ l ɛ ɲ ɪ
zastřelené,z a s t r̝̊ ɛ l ɛ n ɛː
zastřelil,z a s t r̝̊ ɛ l ɪ l
zastřelit,z a s t r̝̊ ɛ l ɪ t
zastřeliti,z a s t r̝̊ ɛ l ɪ c ɪ
zasunout,ˈ z a s ʊ n ɔ ʊ̯ t
zasvítit,z a s v iː c ɪ t
zasvětila,z a s v j ɛ c ɪ l a
zasypali,z a s ɪ p a l ɪ
zasypat,z a s ɪ p a t
zasypávat,ˈ z a s ɪ p aː v a t
zasáhl,z a s aː ɦ l̩
zasáhla,z a s aː ɦ l a
zasáhli,z a s aː ɦ l ɪ
zasáhlo,z a s aː ɦ l ɔ
zasáhnou,z a s aː ɦ n ɔ ʊ̯
zasáhnout,ˈ z a s aː ɦ n ɔ ʊ̯ t
zasáhnouti,ˈ z a s aː ɦ n ɔ ʊ̯ c ɪ
zasáhši,z a s aː x ʃ ɪ
zatarasit,z a t a r a s ɪ t
zatemnění,ˈ z a t ɛ m ɲ ɛ ɲ iː
zateplovat,ˈ z a t ɛ p l ɔ v a t
zatkla,z a t k l a
zatknout,ˈ z a t k n ɔ ʊ̯ t
zatloukat,z a t l ɔ ʊ̯ k a t
zatloukl,ˈ z a t l ɔ ʊ̯ k l̩
zatmění,z a t m ɲ ɛ ɲ iː
zato,z a t ɔ
zatop,z a t ɔ p
zatopené,z a t ɔ p ɛ n ɛː
zatopit,z a t ɔ p ɪ t
zatrachtilé,z a t r a x c ɪ l ɛː
zatrne,ˈ z a t r̩ n ɛ
zatrolené,z a t r ɔ l ɛ n ɛː
zatvrzelý,z a t v r̩ z ɛ l iː
zatykač,z a t ɪ k a t͡ʃ
zatáčce,z a t aː t͡ʃ t͡s ɛ
zatáček,z a t aː t͡ʃ ɛ k
zatáčka,z a t aː t͡ʃ k a
zatáčkou,z a t aː t͡ʃ k ɔ ʊ̯
zatáčku,z a t aː t͡ʃ k ʊ
zatáčky,z a t aː t͡ʃ k ɪ
zatáčkách,z a t aː t͡ʃ k aː x
zatím,z a c iː m
zatímco,ˈ z a c iː m t͡s ɔ
zatýkací,z a t iː k a t͡s iː
zatčen,z a t t͡ʃ ɛ n
zatčena,z a t t͡ʃ ɛ n a
zatčeno,z a t t͡ʃ ɛ n ɔ
zatěžuje,z a c ɛ ʒ ʊ j ɛ
zauhlování,z a ʊ ɦ l ɔ v aː ɲ iː
zaujmout,z a ʊ j m ɔ ʊ t
zavadil,z a v a ɟ ɪ l
zavalila,z a v a l ɪ l a
zavazadelník,z a v a z a d ɛ l ɲ iː k
zavazadlo,z a v a z a d l ɔ
zaveden,z a v ɛ d ɛ n
zavedena,z a v ɛ d ɛ n a
zavedeny,z a v ɛ d ɛ n ɪ
zavedl,z a v ɛ d l̩
zavedla,z a v ɛ d l a
zavedou,z a v ɛ d ɔ ʊ̯
zavinila,z a v ɪ ɲ ɪ l a
zavináč,z a v ɪ n aː t͡ʃ
zavirovat,z a v ɪ r ɔ v a t
zavlažovač,z a v l a ʒ ɔ v a t͡ʃ
zavlažována,z a v l a ʒ ɔ v aː n a
zavlečené,z a v l ɛ t͡ʃ ɛ n ɛː
zavolala,z a v ɔ l a l a
zavolat,z a v ɔ l a t
zavolati,z a v ɔ l a c ɪ
zavraždili,z a v r a ʒ ɟ ɪ l ɪ
zavraždit,z a v r a ʒ ɟ ɪ t
zavražděn,z a v r a ʒ ɟ ɛ n
zavražděna,z a v r a ʒ ɟ ɛ n a
zavraždění,z a v r a ʒ ɟ ɛ ɲ iː
zavražděných,z a v r a ʒ ɟ ɛ n iː x
zavrhnout,ˈ z a v r̩ ɦ n ɔ ʊ̯ t
zavrouce,z a v r ɔ ʊ̯ t͡s ɛ
zavrženíhodného,z a v r̩ ʒ ɛ ɲ iː ɦ ɔ d n ɛː ɦ ɔ
zavání,z a v aː ɲ iː
zavírat,z a v iː r a t
zavírati,z a v iː r a c ɪ
zavíračka,z a v iː r a t͡ʃ k a
zavítat,ˈ z a v iː t a t
zavítati,ˈ z a v iː t a c ɪ
zavěšujíc,z a v j ɛ ʃ ʊ j iː t͡s
zavřena,z a v r̝ ɛ n a
zavřeno,z a v r̝ ɛ n ɔ
zavřené,z a v r̝ ɛ n ɛː
zavřený,z a v r̝ ɛ n iː
zavřenými,z a v r̝ ɛ n iː m ɪ
zavřev,z a v r̝̊ ɛ f
zavřou,z a v r̝ ɔ ʊ̯
zavřu,z a v r̝ ʊ
zavřít,z a v r̝ iː t
zavšivený,ˈ z a f ʃ ɪ v ɛ n iː
zavšivit,z a f ʃ ɪ v ɪ t
zazdít,z a z ɟ iː t
zazlívat,z a z l iː v a t
zaznamenají,z a z n a m ɛ n a j iː
zaznamenal,z a z n a m ɛ n a l
zaznamenala,z a z n a m ɛ n a l a
zaznamenali,z a z n a m ɛ n a l ɪ
zaznamenat,z a z n a m ɛ n a t
zaznamenati,z a z n a m ɛ n a c ɪ
zaznamenáme,z a z n a m ɛ n aː m ɛ
zaznamenáno,z a z n a m ɛ n aː n ɔ
zaznamenávají,z a z n a m ɛ n aː v a j iː
zaznamenává,z a z n a m ɛ n aː v aː
zaznamenáváme,z a z n a m ɛ n aː v aː m ɛ
zazněly,z a z ɲ ɛ l ɪ
zazobaný,z a z ɔ b a n iː
zažehnány,z a ʒ ɛ ɦ n aː n ɪ
zažili,z a ʒ ɪ l ɪ
zažloutlý,z a ʒ l ɔ ʊ̯ t l iː
zažádáno,z a ʒ aː d aː n ɔ
zažít,ˈ z a ʒ iː t
zaútočil,z a uː t ɔ t͡ʃ ɪ l
zaútočila,z a uː t ɔ t͡ʃ ɪ l a
zaútočili,z a uː t ɔ t͡ʃ ɪ l ɪ
zaútočit,z a uː t ɔ t͡ʃ ɪ t
zaútočí,z a uː t ɔ t͡ʃ iː
zběh,z b j ɛ x
zběhlého,z b j ɛ ɦ l ɛː ɦ ɔ
zběhovcový,z b j ɛ ɦ ɔ f t͡s ɔ v iː
zbabělců,z b a b j ɛ l t͡s uː
zbaběle,ˈ z b a b j ɛ l ɛ
zbabělý,ˈ z b a b j ɛ l iː
zbanalizovat,z b a n a l ɪ z ɔ v a t
zbarvený,z b a r v ɛ n iː
zbavila,z b a v ɪ l a
zbavit,z b a v ɪ t
zbavovat,z b a v ɔ v a t
zbavovati,z b a v ɔ v a c ɪ
zbaštit,ˈ z b a ʃ c ɪ t
zbit,z b ɪ t
zbitého,z b ɪ t ɛː ɦ ɔ
zblbnout,ˈ z b l̩ b n ɔ ʊ̯ t
zblo,z b l ɔ
zblízka,z b l iː s k a
zbolševizovat,z b ɔ l ʃ ɛ v ɪ z ɔ v a t
zbouchnout,ˈ z b ɔ ʊ̯ x n ɔ ʊ̯ t
zboun,z b ɔ ʊ̯ n
zbourat,ˈ z b ɔ ʊ̯ r a t
zbourá,z b ɔ ʊ̯ r aː
zbořený,z b ɔ r̝ ɛ n iː
zbořiv,z b ɔ r̝ ɪ f
zbožný,ˈ z b ɔ ʒ n iː
zboží,z b ɔ ʒ iː
zbožínek,z b ɔ ʒ iː n ɛ k
zbranek,z b r a n ɛ k
zbraních,z b r a ɲ iː x
zbraněk,z b r a ɲ ɛ k
zbraněmi,z b r a ɲ ɛ m ɪ
zbraslav,z b r a s l a f
zbraň,z b r a ɲ
zbrklý,z b r̩ k l iː
zbrocena,z b r ɔ t͡s ɛ n a
zbrocený,z b r ɔ t͡s ɛ n iː
zbroj,z b r ɔ j
zbrojit,z b r ɔ j ɪ t
zbrojní,z b r ɔ j ɲ iː
zbrojíř,z b r ɔ j iː r̝̊
zbrojířský,z b r ɔ j iː r̝̊ s k iː
zbrotit,z b r ɔ t ɪ t
zbude,z b ʊ d ɛ
zbudeme,z b ʊ d ɛ m ɛ
zbudete,z b ʊ d ɛ t ɛ
zbudeš,z b ʊ d ɛ ʃ
zbudou,z b ʊ d ɔ ʊ̯
zbudu,z b ʊ d ʊ
zbyde,z b ɪ d ɛ
zbydeme,z b ɪ d ɛ m ɛ
zbydete,z b ɪ d ɛ t ɛ
zbydeš,z b ɪ d ɛ ʃ
zbydou,z b ɪ d ɔ ʊ̯
zbydu,z b ɪ d ʊ
zbylý,z b ɪ l iː
zbylých,z b ɪ l iː x
zbyněk,z b ɪ ɲ ɛ k
zbyrokratizovat,z b ɪ r ɔ k r a t ɪ z ɔ v a t
zbytek,z b ɪ t ɛ k
zbytečný,z b i t ɛ t͡ʃ n iː
zbytečně,z b ɪ t ɛ t͡ʃ ɲ ɛ
zbytečnější,z b ɪ t ɛ t͡ʃ ɲ ɛ j ʃ iː
zbytku,z b ɪ t k uː
zbytky,z b ɪ t k ɪ
zbytný,z b ɪ t n iː
zbytných,ˈ z b ɪ t n iː x
zbyšek,z b ɪ ʃ ɛ k
zbádat,z b aː d a t
zbídačené,z b iː d a t͡ʃ ɛ n ɛː
zbýt,z b iː t
zbýti,z b iː c ɪ
zbývají,z b iː v a j iː
zbývající,z b iː v a j iː t͡s iː
zbývat,z b iː v a t
zbývati,z b iː v a c ɪ
zbývá,z b iː v aː
zcela,s t͡s ɛ l a
zcentralizovat,s ʔ t͡s ɛ n t r a l ɪ z ɔ v a t
zcenzurovat,s ʔ t͡s ɛ n z ʊ r ɔ v a t
zchladit,s x l a ɟ ɪ t
zchladiti,s x l a ɟ ɪ c ɪ
zchvácený,s x v aː t͡s ɛ n iː
zcivilizovat,s ʔ t͡s ɪ v ɪ l ɪ z ɔ v a t
zcvoknout,s t͡s v ɔ k n ɔ ʊ̯ t
zděný,z ɟ ɛ n iː
zdřevěnět,z d r̝ ɛ v j ɛ ɲ ɛ t
zda,z d a
zdaleka,z d a l ɛ k a
zdali,z d a l ɪ
zdalipak,ˈ z d a l ɪ p a k
zdanitelný,ˈ z d a ɲ ɪ t ɛ l n iː
zdanění,z d a ɲ ɛ ɲ iː
zdar,z d a r
zdarma,z d a r m a
zde,z d ɛ
zdechlina,ˈ z d ɛ x l ɪ n a
zdechlinář,z d ɛ x l̩ ɪ n aː r̝̊
zdejší,z d ɛ j ʃ iː
zdejších,z d ɛ j ʃ iː x
zdemokratizovat,z d ɛ m ɔ k r a t ɪ z ɔ v a t
zdemoloval,z d ɛ m ɔ l ɔ v a l
zdemolované,z d ɛ m ɔ l ɔ v a n ɛː
zdemoralizovat,z d ɛ m ɔ r a l ɪ z ɔ v a t
zdemysličanek,z d ɛ m ɪ s l ɪ t͡ʃ a n e k
zdeněk,z d ɛ ɲ ɛ k
zdeněčkova,z d ɛ ɲ ɛ t͡ʃ k ɔ v a
zdeňka,z d ɛ ɲ k a
zdeňku,z d ɛ ɲ k ʊ
zdi,z ɟ ɪ
zdichynec,ˈ z ɟ ɪ x ɪ n ɛ t͡s
zdický,z ɟ ɪ t͡s k iː
zdigitalizovat,z d ɪ ɡ ɪ t a l ɪ z ɔ v a t
zdivo,z ɟ ɪ v ɔ
zdlouhavý,z d l ɔ ʊ̯ ɦ a v iː
zdlábnout,z d l aː b n ɔ ʊ̯ t
zdobený,z d ɔ b ɛ n iː
zdobit,z d ɔ b ɪ t
zdobí,z d ɔ b iː
zdokonalovat,ˈ z d ɔ k ɔ n a l ɔ v a t
zdola,z d ɔ l a
zdůraznil,z d uː r a z ɲ ɪ l
zdůrazňuje,z d uː r a z ɲ ʊ j ɛ
zdůrazňujeme,z d uː r a z ɲ ʊ j ɛ m ɛ
zdůrazňují,z d uː r a z ɲ ʊ j iː
zdůvodnil,z d uː v ɔ d ɲ ɪ l
zdramatizovat,z d r a m a t ɪ z ɔ v a t
zdrav,z d r a f
zdravit,z d r a v ɪ t
zdravotnická,z d r a v ɔ t ɲ ɪ t͡s k aː
zdravotnický,z d r a v ɔ t ɲ ɪ t͡s k iː
zdravotnictví,z d r a v ɔ t ɲ ɪ t͡s t v iː
zdravotní,z d r a v ɔ t ɲ iː
zdravotníci,z d r a v ɔ t ɲ iː t͡s ɪ
zdravotníků,z d r a v ɔ t ɲ iː k uː
zdravotními,z d r a v ɔ t ɲ iː m ɪ
zdravotnímu,z d r a v ɔ t ɲ iː m ʊ
zdravé,z d r a v ɛː
zdraví,z d r a v iː
zdravím,z d r a v iː m
zdravý,z d r a v iː
zdravým,z d r a v iː m
zdražení,ˈ z d r a ʒ ɛ ɲ iː
zdražit,z d r a ʒ ɪ t
zdrbnout,ˈ z d r̩ b n ɔ ʊ̯ t
zdrhl,z d r̩ ɦ l̩
zdrhnout,ˈ z d r̩ ɦ n ɔ ʊ̯ t
zdroj,z d r ɔ j
zdrojem,z d r ɔ j ɛ m
zdráv,z d r aː f
zdrávas,z d r aː v a s
zdrávasek,z d r aː v a s ɛ k
zdrž,z d r̩ ʃ
zdržím,z d r̩ ʒ iː m
zds,ˈ z ɛ t ˈ d ɛː ˈ ɛ s
zds,ˈ z ɛ t ˈ d ɛː ˈ ɛ s k a
zds,ˈ z ˈ d ˈ s
zduřet,z d ʊ r̝ ɛ t
zduřeti,z d ʊ r̝ ɛ c ɪ
zdužnatělý,z d ʊ ʒ n a c ɛ l iː
zdvihat,ˈ z d v ɪ ɦ a t
zdvihnouce,z d v ɪ ɦ n ɔ ʊ̯ t͡s ɛ
zdvihnout,ˈ z d v ɪ ɦ n ɔ ʊ̯ t
zdvojnásobit,z d v ɔ j n aː s ɔ b ɪ t
zdvojnásobí,z d v ɔ j n aː s ɔ b iː
zdvořile,z d v ɔ r̝ ɪ l ɛ
zdvořilost,ˈ z d v ɔ r̝ ɪ l ɔ s t
zdvořilý,z d v ɔ r̝ ɪ l iː
zdynamizovat,z d ɪ n a m ɪ z ɔ v a t
zdáli,z d aː l ɪ
zdánlivě,z d aː n l ɪ v j ɛ
zdání,z d aː ɲ iː
zdárně,z d aː r ɲ ɛ
zdít,z ɟ iː t
zdíti,z ɟ iː c ɪ
zeď,z ɛ c
ze,z ɛ
zebra,ˈ z ɛ b r a
zebro,ˈ z ɛ b r ɔ
zebroid,z ɛ b r ɔ j t
zebu,z ɛ b ʊ
zedník,z ɛ d ɲ iː k
zedníkův,z ɛ d ɲ iː k uː f
zedínek,z ɛ ɟ iː n ɛ k
zeť,z ɛ c
zefýr,z ɛ f iː r
zejména,z ɛ j m ɛː n a
zejí,z ɛ j iː
zekonomizovat,ˈ s ʔ ɛ k ɔ n ɔ m ɪ z ɔ v a t
zekonomizovat,ˈ z ɛ k ɔ n ɔ m ɪ z ɔ v a t
zekonomičtit,ˈ s ʔ ɛ k ɔ n ɔ m ɪ t͡ʃ c ɪ t
zekonomičtit,ˈ z ɛ k ɔ n ɔ m ɪ t͡ʃ c ɪ t
zel,z ɛ l
zelenina,z ɛ l ɛ ɲ ɪ n a
zeleninový,z ɛ l ɛ ɲ ɪ n ɔ v iː
zeleninu,z ɛ l ɛ ɲ ɪ n ʊ
zeleniny,z ɛ l ɛ ɲ ɪ n ɪ
zelenobílý,z ɛ l ɛ n ɔ b iː l iː
zelenokabátník,z ɛ l ɛ n ɔ k a b aː t ɲ iː k
zelenomasý,z ɛ l ɛ n ɔ m a s iː
zelenoocasý,z ɛ l ɛ n ɔ ɔ t͡s a s iː
zelená,ˈ z ɛ l ɛ n aː
zelené,z ɛ l ɛ n ɛː
zelení,z ɛ l ɛ ɲ iː
zelený,z ɛ l ɛ n iː
zeleně,z ɛ l ɛ ɲ ɛ
zeleň,z ɛ l ɛ ɲ
zelnice,z ɛ l ɲ ɪ t͡s ɛ
zelný,z ɛ l n iː
zelo,z ɛ l ɔ
zelotický,z ɛ l ɔ t ɪ t͡s k iː
zelotický,z ɛː l ɔ t ɪ t͡s k iː
zelovka,z ɛ l ɔ f k a
zelva,z ɛ l v a
zelánka,z ɛ l aː ŋ k a
zelí,z ɛ l iː
zelím,z ɛ l iː m
zelňačka,z ɛ l ɲ a t͡ʃ k a
zelňák,z ɛ l ɲ aː k
zemče,z ɛ m t͡ʃ ɛ
země,z ɛ m ɲ ɛ
zemědělci,z ɛ m ɲ ɛ ɟ ɛ l t͡s ɪ
zemědělec,z ɛ m ɲ ɛ ɟ ɛ l ɛ t͡s
zemědělskoprůmyslový,z ɛ m ɲ ɛ ɟ ɛ l s k ɔ p r uː m ɪ s l ɔ v iː
zemědělský,z ɛ m ɲ ɛ ɟ ɛ l s k iː
zemědělství,z ɛ m ɲ ɛ ɟ ɛ l s t v iː
zeměkoule,z ɛ m ɲ ɛ k ɔ ʊ̯ l ɛ
zeměloď,z ɛ m ɲ ɛ l ɔ c
zeměměřictví,z ɛ m ɲ ɛ m ɲ ɛ r̝ ɪ t͡s t v iː
zeměplaz,z ɛ m ɲ ɛ p l a s
zeměpán,z ɛ m ɲ ɛ p aː n
zemětřas,z ɛ m ɲ ɛ t r̝̊ a s
zemětřesení,z ɛ m ɲ ɛ t r̝̊ ɛ s ɛ ɲ iː
zem,z ɛ m
zemře,z ɛ m r̝ ɛ
zemřel,z ɛ m r̝ ɛ l
zemřela,z ɛ m r̝ ɛ l a
zemřelo,z ɛ m r̝ ɛ l ɔ
zemřelou,z ɛ m r̝ ɛ l ɔ ʊ̯
zemřelá,z ɛ m r̝ ɛ l aː
zemřelé,z ɛ m r̝ ɛ l ɛː
zemřelého,z ɛ m r̝ ɛ l ɛː ɦ ɔ
zemřelém,z ɛ m r̝ ɛ l ɛː m
zemřelému,z ɛ m r̝ ɛ l ɛː m ʊ
zemřelí,z ɛ m r̝ ɛ l iː
zemřelý,z ɛ m r̝ ɛ l iː
zemřelých,z ɛ m r̝ ɛ l iː x
zemřelým,z ɛ m r̝ ɛ l iː m
zemřelými,z ɛ m r̝ ɛ l iː m ɪ
zemřeme,z ɛ m r̝ ɛ m ɛ
zemřev,z ɛ m r̝ ɛ f
zemřít,z ɛ m r̝ iː t
zeman,z ɛ m a n
zemanovatět,ˈ z e m a n ɔ v a c ɛ t
zemanovec,z ɛ m a n ɔ v ɛ t͡s
zemanovi,z ɛ m a n ɔ v ɪ
zemanův,z ɛ m a n uː f
zemštější,ˈ z ɛ m ʃ c ɛ j ʃ iː
zemi,z ɛ m ɪ
zemin,z ɛ m ɪ n
zemina,z ɛ m ɪ n a
zemino,z ɛ m ɪ n ɔ
zeminou,z ɛ m ɪ n ɔ ʊ̯
zeminu,z ɛ m ɪ n ʊ
zeminy,z ɛ m ɪ n ɪ
zemině,z ɛ m ɪ ɲ ɛ
zeminů,z ɛ m ɪ n uː
zemnice,z ɛ m ɲ ɪ t͡s ɛ
zemru,z ɛ m r ʊ
zemskou,z ɛ m s k ɔ ʊ̯
zemský,z ɛ m s k iː
zemák,z ɛ m aː k
zemí,z ɛ m iː
zemích,z ɛ m iː x
zemím,z ɛ m iː m
zemín,z ɛ m iː n
zemína,z ɛ m iː n a
zemíne,z ɛ m iː n ɛ
zemíny,z ɛ m iː n ɪ
zemínů,z ɛ m iː n uː
zenit,z ɛ n ɪ t
zeolit,z ɛ ɔ l ɪ t
zerobond,z ɛ r ɔ b ɔ n t
zerotizovat,s ʔ ɛ r ɔ t ɪ z ɔ v a t
zesilovač,z ɛ s ɪ l ɔ v a t͡ʃ
zeslábl,z ɛ s l aː b l̩
zesnout,z ɛ s n ɔ ʊ̯ t
zesnulé,z ɛ s n ʊ l ɛː
zesnulého,z ɛ s n ʊ l ɛː ɦ ɔ
zesnulý,z ɛ s n ʊ l iː
zesplatnění,z ɛ s p l a t ɲ ɛ ɲ iː
zestylizovat,z ɛ s t ɪ l ɪ z ɔ v a t
zestátnit,z ɛ s t aː t ɲ ɪ t
zestátněna,z ɛ s t aː t ɲ ɛ n a
zestátněny,z ɛ s t aː t ɲ ɛ n ɪ
zesumarizovat,z ɛ s ʊ m a r ɪ z ɔ v a t
zesynchronizovat,z ɛ s ɪ n x r ɔ n ɪ z ɔ v a t
zesílily,z ɛ s iː l ɪ l ɪ
zesílí,z ɛ s iː l iː
zet,z ɛ t
zeti,z ɛ c ɪ
zetka,z ɛ t k a
zetko,z ɛ t k ɔ
zeus,ˈ z ɛ ʊ s
zevlovat,z ɛ v l ɔ v a t
zevnitř,z ɛ v ɲ ɪ t r̝̊
zezadu,z ɛ z a d ʊ
zezemanovatět,ˈ z e z e m a n ɔ v a c ɛ t
