ăl,ə l
psihagog,p s i h a ˈ ɡ o ɡ
psihagogic,p s i h a ˈ ɡ o d ʒ i k
psihagogie,p s i h a ɡ o ˈ d ʒ i e
psihagogă,p s i h a ˈ ɡ o ɡ ə
psihanalist,p s i h a n a ˈ l i s t
psihanalistă,p s i h a n a ˈ l i s t ə
psihanalitic,p s i h a n a ˈ l i t i k
psihanalizare,p s i h a n a l i ˈ z a r e
psihanaliză,p s i h a n a ˈ l i z ə
psihastenic,p s i h a s ˈ t e n i k
psihastenică,p s i h a s ˈ t e n i k ə
psihastenie,p s i h a s t e ˈ n i e
psihedelic,p s i h e ˈ d e l i k
psihedelism,p s i h e d e ˈ l i s m
psihiatre,p s i h i ˈ a t r e
psihiatri,p s i h i ˈ a t r i
psihiatric,p s i h i ˈ a t r i k
psihiatrizare,p s i h i a t r i ˈ z a r e
psihiatru,p s i h i ˈ a t r u
psihiatră,p s i h i ˈ a t r ə
psihic,ˈ p s i h i k
psihism,p s i ˈ h i s m
psihoanaleptic,p s i h o a n a ˈ l e p t i k
psihochirurgie,p s i h o k i r u r ˈ d ʒ i e
psihodiagnostic,p s i h o d i a ɡ ˈ n o s t i k
psihodiagnoză,p s i h o d i a ɡ ˈ n o z ə
psihodramatic,p s i h o d r a ˈ m a t i k
psihodramă,p s i h o ˈ d r a m ə
psihoendocrinologie,p s i h o e n d o k r i n o l o ˈ d ʒ i e
psihofarmacologie,p s i h o f a r m a k o l o ˈ d ʒ i e
psihofizic,p s i h o ˈ f i z i k
psihofizician,p s i h o f i z i ˈ t͡ʃ i a n
psihofiziciană,p s i h o f i z i ˈ t͡ʃ i a n ə
psihofiziciene,p s i h o f i z i ˈ t͡ʃ i e n e
psihofizicieni,p s i h o f i z i ˈ t͡ʃ i e n ʲ
psihofizică,p s i h o ˈ f i z i k ə
psihofiziologic,p s i h o f i z i o ˈ l o d ʒ i k
psihofiziologie,p s i h o f i z i o l o ˈ d ʒ i e
psihogen,p s i h o ˈ d ʒ e n
psihogeneza,p s i h o d ʒ e ˈ n e z a
psihogeneză,p s i h o d ʒ e ˈ n e z ə
psihogramă,p s i h o ˈ ɡ r a m ə
psiholeptic,p s i h o ˈ l e p t i k
psiholingvist,p s i h o l i n ˈ ɡ v i s t
psiholingvistic,p s i h o l i n ˈ ɡ v i s t i k
psiholingvistică,p s i h o l i n ɡ ˈ v i s t i k ə
psiholingvistă,p s i h o l i n ˈ ɡ v i s t ə
psiholog,p s i h o ˈ l o ɡ
psihologa,p s i h o ˈ l o ɡ a
psihologe,p s i h o ˈ l o d ʒ e
psihologi,p s i h o ˈ l o d ʒ ʲ
psihologic,p s i h o ˈ l o d ʒ i k
psihologicește,p s i h o l o d ʒ i ˈ t͡ʃ e ʃ t e
psihologie,p s i h o l o ˈ d ʒ i e
psihologism,p s i h o l o ˈ d ʒ i s m
psihologist,p s i h o l o ˈ d ʒ i s t
psihologiza,p s i h o l o d ʒ i ˈ z a
psihologizant,p s i h o l o d ʒ i ˈ z a n t
psihologizare,p s i h o l o d ʒ i ˈ z a r e
psihologă,p s i h o ˈ l o ɡ ə
psihomanție,p s i h o m a n ˈ t͡s i e
psihometrie,p s i h o m e ˈ t r i e
psihomotor,p s i h o m o ˈ t o r
psihonevroză,p s i h o n e ˈ v r o z ə
psihopat,p s i h o ˈ p a t
psihopatic,p s i h o ˈ p a t i k
psihopatie,p s i h o p a ˈ t i e
psihopatolog,p s i h o p a t o ˈ l o ɡ
psihopatologic,p s i h o p a t o ˈ l o d ʒ i k
psihopatologie,p s i h o p a t o l o ˈ d ʒ i e
psihopatologă,p s i h o p a t o ˈ l o ɡ ə
psihopată,p s i h o ˈ p a t ə
psihopedagog,p s i h o p e d a ˈ ɡ o ɡ
psihopedagogie,p s i h o p e d a ɡ o ˈ d ʒ i e
psihopedagogă,p s i h o p e d a ˈ ɡ o ɡ ə
psihosocial,p s i h o s o t͡ʃ i ˈ a l
psihosociolog,p s i h o s o t͡ʃ i o ˈ l o ɡ
psihosociologic,p s i h o s o t͡ʃ i o ˈ l o d ʒ i k
psihosociologie,p s i h o s o t͡ʃ i o l o ˈ d ʒ i e
psihosomatic,p s i h o s o ˈ m a t i k
psihosomatică,p s i h o s o ˈ m a t i k ə
psihotehnician,p s i h o t e h n i t͡ʃ i ˈ a n
psihotehniciană,p s i h o t e h n i t͡ʃ i ˈ a n ə
psihotehnică,p s i h o ˈ t e h n i k ə
psihoterapeutic,p s i h o t e r a p e ˈ u t i k
psihoterapeutică,p s i h o t e r a p e ˈ u t i k ə
psihoterapic,p s i h o t e ˈ r a p i k
psihoterapie,p s i h o t e r a ˈ p i e
psihotonic,p s i h o ˈ t o n i k
psihotronic,p s i h o ˈ t r o n i k
psihotronică,p s i h o ˈ t r o n i k ə
psihotrop,p s i h o ˈ t r o p
psihoză,p s i ˈ h o z ə
psihrofil,p s i h r o ˈ f i l
psihrofilă,p s i h r o ˈ f i l ə
psihrometru,p s i h r o ˈ m e t r u
psilofitală,p s i l o f i ˈ t a l ə
psilofită,p s i l o ˈ f i t ə
psilomelan,p s i l o m e ˈ l a n
psitacism,p s i t a ˈ t͡ʃ i s m
psitacoză,p s i t a ˈ k o z ə
psofometru,p s o f o ˈ m e t r u
psoriazic,p s o r i ˈ a z i k
psoriazis,p s o r i ˈ a z i s
pst,p s t
ptarmigan,p t a r m i ˈ ɡ a n
pteranodon,p t e r a n o ˈ d o n
pteridofită,p t e r i d o ˈ f i t ə
pteridologie,p t e r i d o l o ˈ d ʒ i e
pteridospermă,p t e r i d o s ˈ p e r m ə
pterigotă,p t e r i ˈ ɡ o t ə
pterodactil,p t e r o d a k ˈ t i l
pterodon,p t e r o ˈ d o n
pteropod,p t e r o ˈ p o d
ptialagog,p t i a l a ˈ ɡ o ɡ
ptialină,p t i a ˈ l i n ə
ptialism,p t j a ˈ l i s m
ptomaină,p t o m a ˈ i n ə
ptoză,ˈ p t o z ə
ptru,p t r u
ptușire,p t u ˈ ʃ i r e
pușca,p u ʃ ˈ k a
pușca,ˈ p u ʃ k a
pușcare,p u ʃ ˈ k a r e
pușcaș,p u ʃ ˈ k a ʃ
pușculiță,p u ʃ k u ˈ l i t͡s ə
pușcă,ˈ p u ʃ k ə
pușcări,p u ʃ k ə ˈ r i
pușcăriaș,p u ʃ k ə r i ˈ a ʃ
pușcăriașă,p u ʃ k ə r i ˈ a ʃ ə
pușcărie,p u ʃ k ə ˈ r i e
pușcărire,p u ʃ k ə ˈ r i r e
pușcătură,p u ʃ k ə ˈ t u r ə
pușcăvire,p u ʃ k ə ˈ v i r e
pușkinian,p u ʃ k i n i ˈ a n
pușlama,p u ʃ l a ˈ m a
pușlamalâc,p u ʃ l a m a ˈ l ɨ k
puștan,p u ʃ ˈ t a n
puștancă,p u ʃ ˈ t a n k ə
puștesc,p u ʃ ˈ t e s k
pușticare,p u ʃ t i ˈ k a r e
puștism,p u ʃ ˈ t i s m
puț,p u t͡s
puța,ˈ p u t͡s a
puțar,p u ˈ t͡s a r
puți,p u ˈ t͡s i
puțin,p u ˈ t͡s i n
puținare,p u t͡s i ˈ n a r e
puținel,p u t͡s i ˈ n e l
puțintel,p u t͡s i n ˈ t e l
puținteluș,p u t͡s i n t e ˈ l u ʃ
puțintime,p u t͡s i n ˈ t i m e
puținătate,p u t͡s i n ə ˈ t a t e
puțire,p u ˈ t͡s i r e
puțuluire,p u t͡s u l u ˈ i r e
puțuri,ˈ p u t͡s u r ʲ
puță,ˈ p u t͡s ə
pu,p u
pubelă,p u ˈ b e l ə
puber,ˈ p u b e r
puberal,p u b e ˈ r a l
pubertate,p u b e r ˈ t a t e
puberă,p u ˈ b e r ə
pubescent,p u b e s ˈ t͡ʃ e n t
pubescență,p u b e s ˈ t͡ʃ e n t͡s ə
pubian,p u b i ˈ a n
pubis,ˈ p u b i s
public,ˈ p u b l i k
publica,p u b l i ˈ k a
publicabil,p u b l i ˈ k a b i l
publican,p u b l i ˈ k a n
publicare,p u b l i ˈ k a r e
publicarisire,p u b l i k a r i ˈ s i r e
publicație,p u b l i ˈ k a t͡s i e
publicist,p u b l i ˈ t͡ʃ i s t
publicistic,p u b l i ˈ t͡ʃ i s t i k
publicistică,p u b l i ˈ t͡ʃ i s t i k ə
publicistă,p u b l i ˈ t͡ʃ i s t ə
publicitar,p u b l i t͡ʃ i ˈ t a r
publicitate,p u b l i t͡ʃ i ˈ t a t e
publicuire,p u b l i k u ˈ i r e
publicăluire,p u b l i k ə l u ˈ i r e
puc,p u k
puchinos,p u k i ˈ n o s
puchină,p u ˈ k i n ə
puchios,p u ˈ k j o s
puchițel,p u k i ˈ t͡s e l
puci,p u t͡ʃ ʲ
pucios,p u ˈ t͡ʃ j o s
pucist,p u ˈ t͡ʃ i s t
pucluire,p u k l u ˈ i r e
pud,p u d
pudel,ˈ p u d e l
pudibonderie,p u d i b o n ˈ d e r i e
pudibund,p u d i ˈ b u n d
pudibunderie,p u d i b u n ˈ d e r i e
pudic,ˈ p u d i k
pudicitate,p u d i t͡ʃ i ˈ t a t e
pudl,p u d l
pudla,p u ˈ d l a
pudlaj,p u ˈ d l a ʒ
pudlare,p u ˈ d l a r e
pudlat,p u ˈ d l a t
pudoare,p u ˈ d o̯ a r e
pudra,p u ˈ d r a
pudrare,p u ˈ d r a r e
pudrat,p u ˈ d r a t
pudrieră,p u d r i ˈ e r ə
pudrui,p u d r u ˈ i
pudruire,p u d r u ˈ i r e
pudruit,p u d r u ˈ i t
pudră,ˈ p u d r ə
puericultură,p u e r i k u l ˈ t u r ə
puerilism,p u e r i ˈ l i s m
puf,p u f
pufnet,p u f ˈ n e t
pufni,p u f ˈ n i
pufnire,p u f ˈ n i r e
pufnitură,p u f n i ˈ t u r ə
pufoaică,p u ˈ f o̯ a j k ə
pufos,p u ˈ f o s
pufuire,p u f u ˈ i r e
pufuleț,p u f u ˈ l e t͡s
pufuliță,p u f u ˈ l i t͡s ə
pufușor,p u f u ˈ ʃ o r
pufăi,p u f ə ˈ i
pufăi,ˈ p u f ə j
pufăire,p u f ə ˈ i r e
pufăitură,p u f ə i ˈ t u r ə
pufăr,ˈ p u f ə r
pufărie,p u f ə ˈ r i e
pugilat,p u d ʒ i ˈ l a t
pugilism,p u d ʒ i ˈ l i s m
pugilist,p u d ʒ i ˈ l i s t
pugilista,p u d ʒ i ˈ l i s t a
pugiliste,p u d ʒ i ˈ l i s t e
pugilistic,p u d ʒ i ˈ l i s t i k
pugilistică,p u d ʒ i ˈ l i s t i k ə
pugilistă,p u d ʒ i ˈ l i s t ə
pugiliști,p u d ʒ i ˈ l i ʃ t ʲ
puhav,ˈ p u h a v
puhoi,p u h o ˈ i
puhoi,p u ˈ h o j
puhoire,p u h o ˈ i r e
puhuire,p u h u ˈ i r e
puhăvi,p u h ə ˈ v i
puhăvire,p u h ə ˈ v i r e
pui,p u j
puicuță,p u j ˈ k u t͡s ə
puiezire,p u j e ˈ z i r e
puios,p u ˈ j o s
puire,p u ˈ i r e
puitoare,p u i ˈ t o̯ a r e
puitor,p u i ˈ t o r
puiule,ˈ p u j u l e
pul,p u l
pula,ˈ p u l a
pulbere,ˈ p u l b e r e
pulberos,p u l b e ˈ r o s
pulberărie,p u l b e r ə ˈ r i e
pulei,ˈ p u l e j
pulie,p u ˈ l i e
pulii,ˈ p u l iː
pulmon,p u l ˈ m o n
pulmonar,p u l m o ˈ n a r
pulmonariță,p u l m o n a ˈ r i t͡s ə
pulover,p u ˈ l o v e r
pulovăr,p u ˈ l o v ə r
pulpană,p u l ˈ p a n ə
pulpar,p u l ˈ p a r
pulpită,p u l ˈ p i t ə
pulpișoară,p u l p i ˈ ʃ o̯ a r ə
pulpos,p u l ˈ p o s
pulpă,ˈ p u l p ə
puls,p u l s
pulsa,p u l ˈ s a
pulsant,p u l ˈ s a n t
pulsar,p u l ˈ s a r
pulsare,p u l ˈ s a r e
pulsatil,p u l s a ˈ t i l
pulsativ,p u l s a ˈ t i v
pulsator,p u l s a ˈ t o r
pulsație,p u l ˈ s a t͡s i e
pulsometru,p u l s o ˈ m e t r u
pulsoreactor,p u l s o r e a k ˈ t o r
pululație,p u l u ˈ l a t͡s i e
pulverină,p u l v e ˈ r i n ə
pulveriza,p u l v e r i ˈ z a
pulverizabil,p u l v e r i ˈ z a b i l
pulverizare,p u l v e r i ˈ z a r e
pulverizat,p u l v e r i ˈ z a t
pulverizator,p u l v e r i z a ˈ t o r
pulverizație,p u l v e r i ˈ z a t͡s i e
pulverulent,p u l v e r u ˈ l e n t
pulverulență,p u l v e r u ˈ l e n t͡s ə
pulă,ˈ p u l ə
puma,ˈ p u m a
pumn,p u m n
pumnal,p u m ˈ n a l
pumnalare,p u m n a ˈ l a r e
pumnaș,p u m ˈ n a ʃ
pumnicel,p u m n i ˈ t͡ʃ e l
pumnire,p u m ˈ n i r e
pumnism,p u m ˈ n i s m
pumnist,p u m ˈ n i s t
pumnișor,p u m n i ˈ ʃ o r
pumnuire,p u m n u ˈ i r e
pumnuliza,p u m n u l i ˈ z a
pumnulizare,p u m n u l i ˈ z a r e
pumnărire,p u m n ə ˈ r i r e
pumă,ˈ p u m ə
punct,p u n k t
puncta,p u n k ˈ t a
punctaj,p u n k ˈ t a ʒ
punctar,p u n k ˈ t a r
punctare,p u n k ˈ t a r e
punctat,p u n k ˈ t a t
punctator,p u n k t a ˈ t o r
punctaveraj,p u n k t a v e ˈ r a ʒ
punctbal,ˈ p u n k t b a l
puncte,ˈ p u n k t e
punctiform,p u n k t i ˈ f o r m
punctișor,p u n k t i ˈ ʃ o r
punctuare,p u n k t u ˈ a r e
punctuație,p u n k t u ˈ a t͡s i e
punctuleț,p u n k t u ˈ l e t͡s
puncție,ˈ p u n k t͡s i e
puncționare,p u n k t͡s i o ˈ n a r e
pune,ˈ p u n e
punere,ˈ p u n e r e
pungaș,p u n ˈ ɡ a ʃ
pungi,p u n ˈ d ʒ i
pungi,ˈ p u n d ʒ i
pungire,p u n ˈ d ʒ i r e
pungit,p u n ˈ d ʒ i t
pungoi,p u n ˈ ɡ o j
punguire,p u n ɡ u ˈ i r e
punguliță,p u n ɡ u ˈ l i t͡s ə
punguță,p u n ˈ ɡ u t͡s ə
pungă,ˈ p u n ɡ ə
pungăleală,p u n ɡ ə ˈ l e̯ a l ə
pungăli,p u n ɡ ə ˈ l i
pungălire,p u n ɡ ə ˈ l i r e
pungălit,p u n ɡ ə ˈ l i t
pungălitură,p u n ɡ ə l i ˈ t u r ə
pungărire,p u n ɡ ə ˈ r i r e
pungășeală,p u n ɡ ə ˈ ʃ e̯ a l ə
pungășesc,p u n ɡ ə ˈ ʃ e s k
pungășește,p u n ɡ ə ˈ ʃ e ʃ t e
pungăși,p u n ɡ ə ˈ ʃ i
pungășire,p u n ɡ ə ˈ ʃ i r e
puni,p u ˈ n i
punibil,p u ˈ n i b i l
punic,ˈ p u n i k
punitiv,p u n i ˈ t i v
punt,p u n t
puntare,p u n ˈ t a r e
puntat,p u n ˈ t a t
punte,ˈ p u n t e
punticică,p u n t i ˈ t͡ʃ i k ə
puntișoară,p u n t i ˈ ʃ o̯ a r ə
puntiță,p u n ˈ t i t͡s ə
pup,p u p
pupa,p u ˈ p a
pupa,ˈ p u p a
pupare,p u ˈ p a r e
pupat,p u ˈ p a t
pupeze,ˈ p u p e z e
pupezele,p u p e ˈ z e l e
pupic,ˈ p u p i k
pupil,p u ˈ p i l
pupilar,p u p i ˈ l a r
pupilometrie,p u p i l o m e ˈ t r i e
pupilometru,p u p i l o ˈ m e t r u
pupiloscopie,p u p i l o s k o ˈ p i e
pupilă,p u ˈ p i l ə
pupinizare,p u p i n i ˈ z a r e
pupitru,p u ˈ p i t r u
pupuire,p u p u ˈ i r e
pupă,ˈ p u p ə
pupăcire,p u p ə ˈ t͡ʃ i r e
pupăgioară,p u p ə d ʒ i ˈ o̯ a r ə
pupăi,p u p ə ˈ i
pupăire,p u p ə ˈ i r e
pupătură,p u p ə ˈ t u r ə
pupăzoi,p u p ə ˈ z o j
pupăză,ˈ p u p ə z ə
purăvire,p u r ə ˈ v i r e
pur,p u r
puradel,p u r a ˈ d e l
purcar,p u r ˈ k a r
purcede,p u r ˈ t͡ʃ e d e
purcedere,p u r ˈ t͡ʃ e d e r e
purcel,p u r ˈ t͡ʃ e l
purcelaș,p u r t͡ʃ e ˈ l a ʃ
purceluș,p u r t͡ʃ e ˈ l u ʃ
purcelușă,p u r t͡ʃ e ˈ l u ʃ ə
purces,p u r ˈ t͡ʃ e s
purcoi,p u r ˈ k o j
purec,ˈ p u r e k
pureca,p u r e ˈ k a
purecare,p u r e ˈ k a r e
purece,ˈ p u r e t͡ʃ e
purecărie,p u r e k ə ˈ r i e
purga,p u r ˈ ɡ a
purgare,p u r ˈ ɡ a r e
purgativ,p u r ɡ a ˈ t i v
purgație,p u r ˈ ɡ a t͡s i e
purica,p u r i ˈ k a
puricare,p u r i ˈ k a r e
puricariță,p u r i k a ˈ r i t͡s ə
puricat,p u r i ˈ k a t
puricaș,p u r i ˈ k a ʃ
purice,ˈ p u r i t͡ʃ e
puricel,p u r i ˈ t͡ʃ e l
puricică,p u r i ˈ t͡ʃ i k ə
puricire,p u r i ˈ t͡ʃ i r e
puricos,p u r i ˈ k o s
puricărie,p u r i k ə ˈ r i e
puricătură,p u r i k ə ˈ t u r ə
purifica,p u r i f i ˈ k a
purificare,p u r i f i ˈ k a r e
purificat,p u r i f i ˈ k a t
purificator,p u r i f i k a ˈ t o r
purificație,p u r i f i ˈ k a t͡s i e
purim,p u ˈ r i m
purine,p u ˈ r i n e
purină,p u ˈ r i n ə
purisare,p u r i ˈ s a r e
purism,p u ˈ r i s m
purist,p u ˈ r i s t
puristă,p u ˈ r i s t ə
puritan,p u r i ˈ t a n
puritanism,p u r i t a ˈ n i s m
puritană,p u r i ˈ t a n ə
puritate,p u r i ˈ t a t e
purja,p u r ˈ ʒ a
purjare,p u r ˈ ʒ a r e
purjor,p u r ˈ ʒ o r
purjă,ˈ p u r ʒ ə
purluire,p u r l u ˈ i r e
puroi,p u ˈ r o j
puroios,p u r o ˈ j o s
puroire,p u r o ˈ i r e
purpur,ˈ p u r p u r
purpurat,p u r p u ˈ r a t
purpure,ˈ p u r p u r e
purpurină,p u r p u ˈ r i n ə
purpuriu,p u r p u ˈ r i w
purpuros,p u r p u ˈ r o s
purpură,ˈ p u r p u r ə
pursânge,p u r ˈ s ɨ n d ʒ e
purta,p u r ˈ t a
purtabil,p u r ˈ t a b i l
purtare,p u r ˈ t a r e
purtat,p u r ˈ t a t
purtăreț,p u r t ə ˈ r e t͡s
purtătoare,p u r t ə ˈ t o̯ a r e
purtător,p u r t ə ˈ t o r
purulent,p u r u ˈ l e n t
purulență,p u r u ˈ l e n t͡s ə
pururi,ˈ p u r u r ʲ
pus,p u s
pusilanim,p u s i l a ˈ n i m
pusnic,ˈ p u s n i k
pusnici,p u s n i ˈ t͡ʃ i
pusnicie,p u s n i ˈ t͡ʃ i e
pusnicire,p u s n i ˈ t͡ʃ i r e
pusnicit,p u s n i ˈ t͡ʃ i t
pustelnicire,p u s t e l n i ˈ t͡ʃ i r e
pustie,p u s ˈ t i e
pustiere,p u s t i ˈ e r e
pustietate,p u s t i e ˈ t a t e
pustiire,p u s t i ˈ i r e
pustiitor,p u s t i i ˈ t o r
pustiu,p u s ˈ t i w
pustnic,ˈ p u s t n i k
pustnicesc,p u s t n i ˈ t͡ʃ e s k
pustnicește,p u s t n i ˈ t͡ʃ e ʃ t e
pustnici,p u s t n i ˈ t͡ʃ i
pustnicie,p u s t n i ˈ t͡ʃ i e
pustnicire,p u s t n i ˈ t͡ʃ i r e
pustnicit,p u s t n i ˈ t͡ʃ i t
pustnică,ˈ p u s t n i k ə
pustulație,p u s t u ˈ l a t͡s i e
pustule,ˈ p u s t u l e
pustulos,p u s t u ˈ l o s
pustuloză,p u s t u ˈ l o z ə
pustuluire,p u s t u l u ˈ i r e
pustă,ˈ p u s t ə
putea,p u ˈ t e̯ a
putere,p u ˈ t e r e
puterire,p u t e ˈ r i r e
puternic,p u ˈ t e r n i k
puternicie,p u t e r n i ˈ t͡ʃ i e
puternicire,p u t e r n i ˈ t͡ʃ i r e
putinar,p u t i ˈ n a r
putincios,p u t i n ˈ t͡ʃ j o s
putinei,p u t i ˈ n e j
putinică,p u t i ˈ n i k ə
putină,ˈ p u t i n ə
putință,p u ˈ t i n t͡s ə
putoare,p u ˈ t o̯ a r e
putorire,p u t o ˈ r i r e
putorișcă,p u t o ˈ r i ʃ k ə
putred,ˈ p u t r e d
putrefacție,p u t r e ˈ f a k t͡s i e
putrefia,p u t r e f i ˈ a
putrefiabil,p u t r e f i ˈ a b i l
putregai,p u t r e ˈ ɡ a j
putregăi,p u t r e ɡ ə ˈ i
putregăios,p u t r e ɡ ə ˈ j o s
putregăire,p u t r e ɡ ə ˈ i r e
putregăit,p u t r e ɡ ə ˈ i t
putrejune,p u t r e ˈ ʒ u n e
putrescent,p u t r e s ˈ t͡ʃ e n t
putrescibil,p u t r e s ˈ t͡ʃ i b i l
putrezeală,p u t r e ˈ z e̯ a l ə
putrezi,p u t r e ˈ z i
putrezime,p u t r e ˈ z i m e
putrezire,p u t r e ˈ z i r e
putrezit,p u t r e ˈ z i t
putrezitură,p u t r e z i ˈ t u r ə
putrid,ˈ p u t r i d
putriditate,p u t r i d i ˈ t a t e
putrificare,p u t r i f i ˈ k a r e
puturoasă,p u t u ˈ r o̯ a s ə
puturos,p u t u ˈ r o s
puvoi,p u ˈ v o j
puzderie,p u z ˈ d e r i e
puzzolană,p u t͡s o ˈ l a n ə
pâș,p ɨ ʃ
pâșcăvire,p ɨ ʃ k ə ˈ v i r e
pâțan,p ɨ ˈ t͡s a n
pâc,p ɨ k
pâclișit,p ɨ k l i ˈ ʃ i t
pâclos,p ɨ ˈ k l o s
pâclă,ˈ p ɨ k l ə
pâcâire,p ɨ k ɨ ˈ i r e
pâcăi,p ɨ k ə ˈ i
pâcăire,p ɨ k ə ˈ i r e
pâine,ˈ p ɨ j n e
pâinișoară,p ɨ j n i ˈ ʃ o̯ a r ə
pâl,p ɨ l
pâlc,p ɨ l k
pâlcuire,p ɨ l k u ˈ i r e
pâlculeț,p ɨ l k u ˈ l e t͡s
pâlcușor,p ɨ l k u ˈ ʃ o r
pâlnioară,p ɨ l n i ˈ o̯ a r ə
pâlpâire,p ɨ l p ɨ ˈ i r e
pâlpâitor,p ɨ l p ɨ i ˈ t o r
pâlpâitură,p ɨ l p ɨ i ˈ t u r ə
pân,p ɨ n
pâncuire,p ɨ n k u ˈ i r e
pândar,p ɨ n ˈ d a r
pândaș,p ɨ n ˈ d a ʃ
pândi,p ɨ n ˈ d i
pândire,p ɨ n ˈ d i r e
pândit,p ɨ n ˈ d i t
pânditor,p ɨ n d i ˈ t o r
pândiș,p ɨ n ˈ d i ʃ
pândă,ˈ p ɨ n d ə
pândărire,p ɨ n d ə ˈ r i r e
pângări,p ɨ n ɡ ə ˈ r i
pângărire,p ɨ n ɡ ə ˈ r i r e
pângărit,p ɨ n ɡ ə ˈ r i t
pângăritor,p ɨ n ɡ ə r i ˈ t o r
pântec,ˈ p ɨ n t e k
pântecare,p ɨ n t e ˈ k a r e
pântecel,p ɨ n t e ˈ t͡ʃ e l
pântecos,p ɨ n t e ˈ k o s
pântecuț,p ɨ n t e ˈ k u t͡s
pântecărire,p ɨ n t e k ə ˈ r i r e
pântre,ˈ p ɨ n t r e
pântuire,p ɨ n t u ˈ i r e
pânzar,p ɨ n ˈ z a r
pânzat,p ɨ n ˈ z a t
pânzet,p ɨ n ˈ z e t
pânzică,p ɨ n ˈ z i k ə
pânzire,p ɨ n ˈ z i r e
pânziș,p ɨ n ˈ z i ʃ
pânzișoară,p ɨ n z i ˈ ʃ o̯ a r ə
pânzucă,p ɨ n ˈ z u k ə
pânzuire,p ɨ n z u ˈ i r e
pânzuliță,p ɨ n z u ˈ l i t͡s ə
pânzuță,p ɨ n ˈ z u t͡s ə
pânză,ˈ p ɨ n z ə
pânzărie,p ɨ n z ə ˈ r i e
pânzătură,p ɨ n z ə ˈ t u r ə
până,ˈ p ɨ n ə
pâr,p ɨ r
pârcire,p ɨ r ˈ t͡ʃ i r e
pârciuire,p ɨ r t͡ʃ j u ˈ i r e
pârcuire,p ɨ r k u ˈ i r e
pârcălab,p ɨ r k ə ˈ l a b
pârcălăbie,p ɨ r k ə l ə ˈ b i e
pârdalnic,p ɨ r ˈ d a l n i k
pârg,p ɨ r ɡ
pârgar,p ɨ r ˈ ɡ a r
pârgav,p ɨ r ˈ ɡ a v
pârgui,p ɨ r ɡ u ˈ i
pârguire,p ɨ r ɡ u ˈ i r e
pârguit,p ɨ r ɡ u ˈ i t
pârgă,ˈ p ɨ r ɡ ə
pârgăluire,p ɨ r ɡ ə l u ˈ i r e
pârgărire,p ɨ r ɡ ə ˈ r i r e
pârjoală,p ɨ r ˈ ʒ o̯ a l ə
pârjol,p ɨ r ˈ ʒ o l
pârjoli,p ɨ r ʒ o ˈ l i
pârjolire,p ɨ r ʒ o ˈ l i r e
pârjolit,p ɨ r ʒ o ˈ l i t
pârleală,p ɨ r ˈ l e̯ a l ə
pârli,p ɨ r ˈ l i
pârlire,p ɨ r ˈ l i r e
pârlit,p ɨ r ˈ l i t
pârlitură,p ɨ r l i ˈ t u r ə
pârloagă,p ɨ r ˈ l o̯ a ɡ ə
pârlogi,p ɨ r l o ˈ d ʒ i
pârlogire,p ɨ r l o ˈ d ʒ i r e
pârlogit,p ɨ r l o ˈ d ʒ i t
pârluire,p ɨ r l u ˈ i r e
pârlăluire,p ɨ r l ə l u ˈ i r e
pârpălac,p ɨ r p ə ˈ l a k
pârpăleală,p ɨ r p ə ˈ l e̯ a l ə
pârpăli,p ɨ r p ə ˈ l i
pârpălire,p ɨ r p ə ˈ l i r e
pârpălit,p ɨ r p ə ˈ l i t
pârpăriță,p ɨ r p ə ˈ r i t͡s ə
pârte,ˈ p ɨ r t e
pârtie,ˈ p ɨ r t i e
pârtioară,p ɨ r t i ˈ o̯ a r ə
pârâcios,p ɨ r ɨ ˈ t͡ʃ j o s
pârâire,p ɨ r ɨ ˈ i r e
pârâitoare,p ɨ r ɨ i ˈ t o̯ a r e
pârâitură,p ɨ r ɨ i ˈ t u r ə
pârât,p ɨ ˈ r ɨ t
pârâtoare,p ɨ r ɨ ˈ t o̯ a r e
pârâtor,p ɨ r ɨ ˈ t o r
pârâtură,p ɨ r ɨ ˈ t u r ə
pârâtă,p ɨ ˈ r ɨ t ə
pârâu,p ɨ ˈ r ɨ w
pârâș,p ɨ ˈ r ɨ ʃ
pârî,p ɨ ˈ r ɨ
pâră,ˈ p ɨ r ə
pârăi,p ɨ r ə ˈ i
pârăire,p ɨ r ə ˈ i r e
pârăitoare,p ɨ r ə i ˈ t o̯ a r e
pârș,p ɨ r ʃ
pârț,p ɨ r t͡s
pârțag,p ɨ r ˈ t͡s a ɡ
pârțâire,p ɨ r t͡s ɨ ˈ i r e
pâs,p ɨ s
pâslar,p ɨ s ˈ l a r
pâsli,p ɨ s ˈ l i
pâslire,p ɨ s ˈ l i r e
pâslit,p ɨ s ˈ l i t
pâslos,p ɨ s ˈ l o s
pâslă,ˈ p ɨ s l ə
pâsâire,p ɨ s ɨ ˈ i r e
q,k j u
quakerism,k w a k e ˈ r i s m
quarc,k w ˈ a r k
quattrocentist,k w a t r o t͡ʃ e n ˈ t i s t
quotient,k v o t i ˈ e n t
rășchia,r ə ʃ k i ˈ a
rășchiat,r ə ʃ k i ˈ a t
rășchira,r ə ʃ k i ˈ r a
rășchirare,r ə ʃ k i ˈ r a r e
rășchirat,r ə ʃ k i ˈ r a t
rășchitor,r ə ʃ k i ˈ t o r
